Thu Aug 26 11:45:36 2021

Parámetros:
Canal de disparo:	3
Frecuencia de muestreo:	50
Nivel de disparo=	2.000000
Cantidad de muestras post trigger =	70
Cantidad de muestras pre trigger =	30
Volts/cuenta =	5000000/8388608
Canal 0 (uV)	Canal 1 (uV)	Canal 2 (uV)	Canal 3 (uV)	Canal 4 (uV)	Canal 5 (uV)	Canal 6 (uV)	Canal 7 (uV)	Tiempo: canal 0 (S) +	uS
949635	1620976	2298232	2780341	2976222	3670309	4348138	5028388	1629989149	139695
949484	1620990	2298311	2780277	2976271	3670231	4348114	5028393	1629989149	301986
949428	1620889	2298219	2780626	2976263	3670203	4348099	5028385	1629989149	464273
949467	1620992	2298263	2780217	2976234	3670149	4348039	5028398	1629989149	626561
949311	1620815	2298203	2780591	2976165	3670147	4348074	5028393	1629989149	788848
949505	1620866	2298206	2779983	2976115	3670129	4348053	5028408	1629989149	951136
949460	1620860	2298216	2779644	2976289	3670153	4348070	5028386	1629989150	113423
949563	1620980	2298351	2779564	2976154	3670162	4348114	5028390	1629989150	275711
949440	1620994	2298283	2779610	2976186	3670175	4348108	5028394	1629989150	437998
949368	1620901	2298235	2779860	2976139	3670148	4348051	5028368	1629989150	600285
949254	1620819	2298088	2780069	2976140	3670153	4348079	5028397	1629989150	762573
949225	1620738	2298083	2780318	2976149	3670175	4348067	5028400	1629989150	924860
949414	1620877	2298243	2780833	2976254	3670178	4348077	5028387	1629989151	87147
949425	1620944	2298203	2780813	2976189	3670144	4348020	5028370	1629989151	249435
949309	1620920	2298220	2780874	2976214	3670223	4348075	5028379	1629989151	411722
949334	1620877	2298259	2780936	2976297	3670090	4347830	5028360	1629989151	574010
947865	1619223	2296935	2781028	2974859	3669219	4347552	5028368	1629989151	736297
946705	1618428	2296542	2780990	2973173	3668187	4347582	5028344	1629989151	898584
951766	1622982	2299811	2781121	2977187	3670713	4348053	5028365	1629989152	60872
950682	1621059	2298147	2781098	2976646	3670414	4348402	5028353	1629989152	223159
947291	1621651	2300074	2780987	2977390	3670901	4348395	5028339	1629989152	385446
952494	1624562	2300650	2780993	2978017	3671229	4348402	5028353	1629989152	547734
951608	1622789	2298749	2781027	2974386	3669079	4347472	5028352	1629989152	710021
945924	1618594	2296227	2780932	2974461	3668867	4347454	5028356	1629989152	872308
946468	1618588	2295937	2780805	2973917	3668747	4347421	5028359	1629989153	34596


